brand,date,spend,transactions,avg_ticket_size,spend_ly,spend_yoy_pct
BURGER KING,2018-01-01,929955.15,81548.31,11.403732952896265,,
BURGER KING,2018-01-02,1203701.94,125098.16,9.622059509108686,,
BURGER KING,2018-01-03,1287404.29,137120.19,9.388874752871915,,
BURGER KING,2018-01-04,1237328.54,130696.37,9.46719897423318,,
BURGER KING,2018-01-05,1492856.05,154003.06,9.693677839907856,,
BURGER KING,2018-01-06,1392484.2,133126.15,10.459884853576852,,
BURGER KING,2018-01-07,1250820.35,115349.33,10.843759127166148,,
BURGER KING,2018-01-08,1145955.14,126848.91,9.034016453117333,,
BURGER KING,2018-01-09,1211272.82,136119.12,8.898623646700038,,
BURGER KING,2018-01-10,1289989.43,145248.15,8.88127958944744,,
BURGER KING,2018-01-11,1333394.63,147748.22,9.024776271416332,,
BURGER KING,2018-01-12,1554389.19,163850.08,9.486655056866619,,
BURGER KING,2018-01-13,1403959.63,134786.85,10.416146901570887,,
BURGER KING,2018-01-14,1226957.6,115030.01,10.66641305168973,,
BURGER KING,2018-01-15,1208137.29,126778.44,9.52951692732613,,
BURGER KING,2018-01-16,1144220.03,129317.96,8.848113827344632,,
BURGER KING,2018-01-17,1148285.38,125511.17,9.148870016907658,,
BURGER KING,2018-01-18,1340053.83,145991.57,9.178980882252311,,
BURGER KING,2018-01-19,1597159.9,169691.33,9.412147927651931,,
BURGER KING,2018-01-20,1509093.29,146195.43,10.3224381911254,,
BURGER KING,2018-01-21,1253923.05,118551.62,10.577021638337799,,
BURGER KING,2018-01-22,1169338.42,131633.0,8.88332272302538,,
BURGER KING,2018-01-23,1251380.66,142062.81,8.808643585186017,,
BURGER KING,2018-01-24,1348522.68,151495.78,8.901387748226385,,
BURGER KING,2018-01-25,1420243.56,158042.08,8.986489927239633,,
BURGER KING,2018-01-26,1673679.1,176698.58,9.471944256711062,,
BURGER KING,2018-01-27,1555512.95,148631.28,10.465582682191798,,
BURGER KING,2018-01-28,1305319.42,121318.36,10.759454875585195,,
BURGER KING,2018-01-29,1206940.89,135021.16,8.938901798799535,,
BURGER KING,2018-01-30,1241774.56,140348.74,8.847778469546647,,
BURGER KING,2018-01-31,1333910.17,150193.02,8.88130600210316,,
BURGER KING,2018-02-01,1447325.53,160029.31,9.044127791340225,,
BURGER KING,2018-02-02,1614503.48,171248.63,9.427832970109016,,
BURGER KING,2018-02-03,1495774.92,143358.81,10.433784432222895,,
BURGER KING,2018-02-04,1087101.25,103765.03,10.476566623649605,,
BURGER KING,2018-02-05,1162829.34,129545.76,8.976205319263249,,
BURGER KING,2018-02-06,1229617.16,138205.9,8.89699470138395,,
BURGER KING,2018-02-07,1246327.39,140399.48,8.877008590060303,,
BURGER KING,2018-02-08,1418353.81,157301.27,9.016798211482973,,
BURGER KING,2018-02-09,1594088.99,169354.68,9.412724762020158,,
BURGER KING,2018-02-10,1442983.27,139156.77,10.369479472683938,,
BURGER KING,2018-02-11,1267912.15,118531.25,10.696859688900606,,
BURGER KING,2018-02-12,1207255.12,135539.81,8.90701499434004,,
BURGER KING,2018-02-13,1283729.22,143425.14,8.950517461583093,,
BURGER KING,2018-02-14,1249050.64,140322.37,8.901293785160556,,
BURGER KING,2018-02-15,1421336.74,156032.92,9.109210671696715,,
BURGER KING,2018-02-16,1633971.77,171305.6,9.538344163880224,,
BURGER KING,2018-02-17,1491458.12,142419.48,10.472290167047372,,
BURGER KING,2018-02-18,1333709.35,123365.55,10.811035576787848,,
BURGER KING,2018-02-19,1290710.62,134802.76,9.57480855733221,,
BURGER KING,2018-02-20,1273222.75,141126.61,9.021847474406139,,
BURGER KING,2018-02-21,1361718.88,152014.11,8.957845294755861,,
BURGER KING,2018-02-22,1530276.14,163985.95,9.331751531152515,,
BURGER KING,2018-02-23,1708969.84,177901.36,9.606277546163785,,
BURGER KING,2018-02-24,1610550.48,151023.57,10.664232609519162,,
